"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2020,"Jose Altuve","HOU",48,192,42,28,9,0,5,32,18,17,0,39,1,0,0,5,2,3,210,0.081,0.186,0.44,0.219,0.286,0.344,0.629,0.125,3.7,0.25,1.5,-0.1,1.4,-1,19,-7.4,0.278,74,0.278
2021,"Jose Altuve","HOU",146,601,167,103,32,1,31,117,83,66,3,91,4,6,1,9,5,3,678,0.097,0.134,0.73,0.278,0.35,0.489,0.839,0.211,3.7,0.28,3,0.3,2,-0.8,106,23.8,0.357,128,0.3
2022,"Jose Altuve","HOU",141,527,158,91,39,0,28,103,57,66,2,87,10,1,0,13,18,1,604,0.109,0.144,0.76,0.3,0.387,0.533,0.921,0.233,5,0.315,-2.4,-1.6,-2.2,2.5,111,41.8,0.397,164,0.311
2023,"Jose Altuve","HOU",90,360,112,72,21,2,17,76,51,44,0,71,5,1,0,9,14,2,410,0.107,0.173,0.62,0.311,0.393,0.522,0.915,0.211,6.2,0.348,-0.7,-1,-1,1,75,25.4,0.393,154,0.295
2020,"Jose Iglesias","BAL",39,142,53,33,17,0,3,16,24,3,0,17,4,1,0,1,0,0,150,0.02,0.113,0.18,0.373,0.4,0.556,0.956,0.183,1.1,0.407,0.8,0.3,-0.1,-0.1,30,11.1,0.407,160,0.259
2021,"Jose Iglesias","LAA",114,424,110,78,23,1,8,57,41,18,0,66,4,1,0,10,5,2,447,0.04,0.148,0.27,0.259,0.295,0.375,0.67,0.116,4.4,0.291,0.6,-0.8,0.8,-0.2,45,-8.7,0.291,81,0.292
2022,"Jose Iglesias","COL",118,439,128,95,30,0,3,48,47,17,0,56,8,3,0,11,2,3,467,0.036,0.12,0.3,0.292,0.328,0.38,0.708,0.089,2.2,0.326,-1.2,-0.8,0.7,-1.3,54,0.7,0.312,87,0.337
2022,"Jose Siri","TBR",56,166,40,27,9,0,4,35,14,11,0,60,1,0,0,1,8,1,178,0.062,0.337,0.18,0.241,0.292,0.367,0.66,0.127,6.3,0.353,0.9,0.6,0.2,1,18,-2.6,0.291,92,0.178
2022,"Jose Siri","HOU",48,135,24,15,4,2,3,18,10,9,0,48,2,1,0,2,6,1,147,0.061,0.327,0.19,0.178,0.238,0.304,0.542,0.126,8.8,0.247,1.9,0.5,1.7,0.7,9,-8.1,0.241,54,0.222
2023,"Jose Siri","TBR",101,338,75,35,13,2,25,58,56,20,0,130,2,3,1,5,12,3,364,0.055,0.357,0.15,0.222,0.267,0.494,0.761,0.272,7.3,0.269,2.8,0.7,1.6,0.7,44,0.1,0.319,106,0.187
