"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2020,"Michael Chavis","BOS",42,146,31,19,5,2,5,16,19,8,0,50,2,2,0,6,3,0,158,0.051,0.316,0.16,0.212,0.259,0.377,0.636,0.164,6.8,0.28,-0.6,-0.4,-0.6,0.5,13,-6.3,0.272,64,0.229
2020,"Michael Conforto","NYM",54,202,65,44,12,0,9,40,31,24,0,57,7,0,0,6,3,3,233,0.103,0.245,0.42,0.322,0.412,0.515,0.927,0.193,3.2,0.412,0.8,-0.1,-0.1,-0.9,45,15.9,0.401,158,0.232
2021,"Michael Conforto","NYM",125,406,94,60,20,0,14,52,55,59,3,104,12,2,0,14,1,0,479,0.123,0.217,0.57,0.232,0.344,0.384,0.729,0.153,2,0.276,-0.5,-0.7,0.3,-0.2,61,2.8,0.322,104,0.239
2023,"Michael Conforto","SFG",125,406,97,68,14,0,15,58,58,53,4,106,7,4,0,12,4,0,470,0.113,0.226,0.5,0.239,0.334,0.384,0.718,0.145,3.4,0.284,1.3,-0.5,-1,-0.2,56,-1.4,0.315,99,0.237
2022,"Michael Harris II","ATL",114,414,123,74,27,3,19,75,64,21,0,107,5,0,1,7,20,2,441,0.048,0.243,0.2,0.297,0.339,0.514,0.853,0.217,7.2,0.361,2.6,0.5,2.4,2.8,71,20.2,0.368,137,0.293
2023,"Michael Harris II","ATL",138,505,148,94,33,3,18,76,57,25,1,101,5,3,1,8,20,4,539,0.046,0.187,0.25,0.293,0.331,0.477,0.808,0.184,6.1,0.334,1.8,0.7,3.6,1.4,77,11.8,0.345,116,0.264
2022,"Michael Massey","KCR",52,173,42,28,9,1,4,16,17,9,0,46,8,2,2,1,3,0,194,0.046,0.237,0.2,0.243,0.307,0.376,0.683,0.133,5,0.304,0.1,0.9,-0.2,0.4,21,-1.2,0.302,91,0.229
2023,"Michael Massey","KCR",129,428,98,64,18,1,15,42,55,24,0,99,4,4,1,3,6,2,461,0.052,0.215,0.24,0.229,0.274,0.381,0.655,0.152,3.6,0.261,1.2,1.3,1.3,-0.4,43,-13.6,0.283,74,0.259
2021,"Michael Pérez","PIT",70,210,30,14,8,1,7,19,21,19,1,68,2,0,0,4,0,1,231,0.082,0.294,0.28,0.143,0.221,0.29,0.511,0.148,2.8,0.17,-0.5,0.5,0.5,-0.5,11,-17.1,0.225,36,0.15
2022,"Michael Toglia","COL",31,111,24,12,8,2,2,10,12,9,0,44,0,0,0,2,1,1,120,0.075,0.367,0.2,0.216,0.275,0.378,0.653,0.162,4.9,0.338,0.6,0.2,-0.1,-0.3,11,-2.3,0.285,69,0.163
2023,"Michael Toglia","COL",45,141,23,14,5,0,4,18,9,10,0,50,1,0,0,3,1,1,152,0.066,0.329,0.2,0.163,0.224,0.284,0.507,0.121,3.8,0.218,0.3,-0.2,-0.2,-0.4,7,-11.7,0.225,23,0.218
2023,"Mickey Moniak","LAA",85,311,87,50,21,2,14,35,45,9,1,113,3,0,0,4,6,3,323,0.028,0.35,0.08,0.28,0.307,0.495,0.802,0.215,4.9,0.397,0,0.5,1.1,-0.5,45,5.6,0.339,115,0.219
2023,"Miguel Amaya","CHC",53,131,28,19,4,0,5,17,18,12,0,40,11,1,1,2,0,0,156,0.077,0.256,0.3,0.214,0.329,0.359,0.688,0.145,1.7,0.264,0.1,0.2,0,-0.3,18,-1,0.31,95,0.232
2021,"Miguel Andujar","NYY",45,154,39,31,2,0,6,19,12,7,0,28,0,1,0,8,0,1,162,0.043,0.173,0.25,0.253,0.284,0.383,0.667,0.13,2,0.273,0.6,-1.7,-0.2,-0.5,16,-3.6,0.288,83,0.229
2022,"Miguel Andujar","NYY",27,96,22,19,2,0,1,9,8,3,0,22,0,1,0,0,4,0,100,0.03,0.22,0.14,0.229,0.25,0.281,0.531,0.052,5.3,0.284,0.7,0.4,0.3,0.7,5,-6,0.235,48,0.285
2020,"Miguel Cabrera","DET",57,204,51,37,4,0,10,28,35,24,1,51,1,2,0,3,1,0,231,0.104,0.221,0.47,0.25,0.329,0.417,0.746,0.167,2.5,0.283,-2.5,0.4,-2.6,0,30,0.6,0.323,105,0.256
2021,"Miguel Cabrera","DET",130,472,121,90,16,0,15,48,75,40,0,118,5,9,0,21,0,0,526,0.076,0.224,0.34,0.256,0.316,0.386,0.701,0.129,0.9,0.305,-3.7,-2.1,-4.2,-0.5,60,-4.2,0.305,92,0.254
2022,"Miguel Cabrera","DET",112,397,101,86,10,0,5,25,43,28,3,101,3,5,0,11,1,0,433,0.065,0.233,0.28,0.254,0.305,0.317,0.622,0.063,1.3,0.324,-3.4,-1.7,-3.5,-0.3,38,-11.9,0.275,78,0.257
2020,"Miguel Rojas","MIA",40,125,38,23,10,1,4,20,20,16,2,18,2,0,0,1,5,1,143,0.112,0.126,0.89,0.304,0.392,0.496,0.888,0.192,5.8,0.33,-1,0.6,-0.8,0.4,25,7.1,0.379,140,0.265
2021,"Miguel Rojas","MIA",132,495,131,89,30,3,9,66,48,37,0,74,5,1,1,10,13,3,539,0.069,0.137,0.5,0.265,0.322,0.392,0.713,0.127,5.4,0.295,1.3,-0.7,2,0.9,64,-1.4,0.311,93,0.236
2022,"Miguel Rojas","MIA",140,471,111,84,19,2,6,34,36,26,1,61,6,3,1,12,9,3,507,0.051,0.12,0.43,0.236,0.283,0.323,0.605,0.087,3.9,0.258,-2.8,-1.3,-1.8,0.1,41,-16.8,0.268,68,0.236
2023,"Miguel Rojas","LAD",125,385,91,69,16,1,5,49,31,26,0,48,5,5,2,12,8,3,423,0.061,0.113,0.54,0.236,0.29,0.322,0.612,0.086,4.7,0.255,-0.2,-1.3,0,-0.4,35,-16.6,0.271,67,0.283
2023,"Miguel Vargas","LAD",81,256,50,24,15,4,7,36,32,38,1,61,4,4,1,1,3,2,304,0.125,0.201,0.62,0.195,0.305,0.367,0.672,0.172,5.5,0.224,0.1,1.1,0.7,-0.7,31,-5.9,0.295,84,0.104
2021,"Mike Brosseau","TBR",57,150,28,14,9,0,5,21,18,15,0,53,2,2,0,1,2,0,169,0.089,0.314,0.28,0.187,0.266,0.347,0.613,0.16,4.5,0.245,-1.7,0.5,-0.5,0.3,14,-6.5,0.268,72,0.255
2020,"Mike Yastrzemski","SFG",54,192,57,29,14,4,10,39,35,30,2,55,3,0,0,2,2,1,225,0.133,0.244,0.55,0.297,0.4,0.568,0.968,0.271,5.8,0.37,0.1,0.9,0.4,-0.2,45,16.5,0.407,158,0.224
2021,"Mike Yastrzemski","SFG",139,468,105,49,28,3,25,75,71,51,4,131,9,3,1,3,4,0,532,0.096,0.246,0.39,0.224,0.311,0.457,0.768,0.233,5,0.254,1,2.5,1.2,0.4,69,5,0.326,106,0.214
2022,"Mike Yastrzemski","SFG",148,485,104,54,31,2,17,73,57,61,0,141,5,6,1,3,5,1,558,0.109,0.253,0.43,0.214,0.305,0.392,0.697,0.177,4.7,0.261,1,1.5,0.7,0.1,62,-1.3,0.307,99,0.233
2023,"Mike Yastrzemski","SFG",106,330,77,38,23,1,15,54,43,45,3,99,3,1,2,5,2,2,381,0.118,0.26,0.45,0.233,0.33,0.445,0.775,0.212,3.5,0.286,1,0.3,0.6,-1.1,51,4.6,0.333,111,0.231
2021,"Mike Zunino","TBR",109,333,72,26,11,2,33,64,62,34,0,132,7,1,0,7,0,0,375,0.091,0.352,0.26,0.216,0.301,0.559,0.86,0.342,3.7,0.231,0.9,-0.1,0,-0.2,59,13.7,0.358,133,0.148
2022,"Mike Zunino","TBR",36,115,17,9,3,0,5,7,16,6,0,46,1,1,0,2,0,0,123,0.049,0.374,0.13,0.148,0.195,0.304,0.499,0.157,0.2,0.185,0,0.1,0.1,-0.1,5,-8.9,0.219,41,0.177
2023,"Miles Mastrobuoni","CHC",61,133,32,26,5,0,1,24,5,13,0,32,0,0,3,1,13,1,149,0.087,0.215,0.41,0.241,0.308,0.301,0.609,0.06,7,0.31,1.1,0.6,-0.1,1.9,13,-5.3,0.275,72,0.194
2021,"Mitch Haniger","SEA",157,620,157,93,23,2,39,110,100,54,2,169,9,8,0,12,1,0,691,0.078,0.245,0.32,0.253,0.318,0.485,0.804,0.232,3.5,0.281,-1.4,0.3,-1.9,-0.3,98,14.5,0.34,120,0.246
2022,"Mitch Haniger","SEA",57,224,55,36,8,0,11,31,34,20,1,65,1,2,0,7,0,0,247,0.081,0.263,0.31,0.246,0.308,0.429,0.736,0.183,1.5,0.293,0,-0.7,-0.3,-0.2,30,1.8,0.319,114,0.209
2023,"Mitch Haniger","SFG",61,211,44,24,13,1,6,27,28,15,0,65,2,1,0,7,1,0,229,0.066,0.284,0.23,0.209,0.266,0.365,0.631,0.156,4.3,0.27,0.5,0.1,-0.6,-0.1,20,-8.4,0.274,72,0.208
2020,"Mookie Betts","LAD",55,219,64,38,9,1,16,47,39,24,1,38,2,1,0,2,10,2,246,0.098,0.154,0.63,0.292,0.366,0.562,0.927,0.269,6.4,0.289,2,0.4,1.4,0.9,45,14.5,0.39,147,0.264
2021,"Mookie Betts","LAD",122,466,123,68,29,3,23,93,58,68,2,86,11,5,0,5,10,5,550,0.124,0.156,0.79,0.264,0.367,0.487,0.854,0.223,5.4,0.276,-1.2,0.6,1.2,-0.6,90,23.2,0.365,131,0.269
2022,"Mookie Betts","LAD",142,572,154,76,40,3,35,117,82,55,0,104,8,4,0,8,12,2,639,0.086,0.163,0.53,0.269,0.34,0.533,0.873,0.264,6,0.272,2.7,0.6,1.1,1,105,32.3,0.373,144,0.307
2023,"Mookie Betts","LAD",152,584,179,99,40,1,39,126,107,96,3,107,8,5,0,5,14,3,693,0.139,0.154,0.9,0.307,0.408,0.579,0.987,0.272,4.5,0.316,2.3,1.2,0.7,0,141,56.5,0.416,165,0.289
2022,"Nelson Velázquez","CHC",77,185,38,22,7,3,6,20,26,19,0,65,2,0,0,5,5,2,206,0.092,0.316,0.29,0.205,0.286,0.373,0.659,0.168,6.3,0.281,0.5,-0.4,1.4,0,21,-3,0.291,89,0.233
2023,"Nelson Velázquez","KCR",40,133,31,13,4,0,14,27,28,11,0,43,2,1,0,2,0,0,147,0.075,0.293,0.26,0.233,0.299,0.579,0.878,0.346,2.4,0.221,0.2,0,0.3,-0.2,24,5.7,0.365,131,0.2
2020,"Nick Ahmed","ARI",57,199,53,37,10,1,5,29,29,18,0,46,0,0,0,3,4,0,217,0.083,0.212,0.39,0.266,0.327,0.402,0.729,0.136,5.5,0.324,1.2,0.3,0.7,0.6,27,-0.3,0.318,96,0.221
2021,"Nick Ahmed","ARI",129,434,96,58,30,3,5,46,38,34,3,104,2,1,2,9,7,2,473,0.072,0.22,0.33,0.221,0.28,0.339,0.619,0.118,5,0.279,0.4,0,0.7,0.2,39,-17.8,0.269,66,0.212
2023,"Nick Ahmed","ARI",72,198,42,29,10,1,2,14,17,12,0,52,0,0,0,0,5,1,210,0.057,0.248,0.23,0.212,0.257,0.303,0.56,0.091,4.8,0.278,-1.5,0.9,0.3,0.3,13,-12.4,0.247,50,0.232
2022,"Nick Fortes","MIA",72,217,50,34,6,1,9,41,24,18,0,45,5,0,0,5,5,3,240,0.075,0.188,0.4,0.23,0.304,0.392,0.696,0.161,5.8,0.252,0.5,-0.1,0.1,-0.4,27,-0.4,0.308,95,0.204
2023,"Nick Fortes","MIA",108,294,60,44,10,0,6,33,26,17,0,59,7,2,3,12,4,2,323,0.053,0.183,0.29,0.204,0.263,0.299,0.562,0.095,3.7,0.234,1.6,-2.5,0.7,-0.6,21,-18.2,0.251,52,0.227
2021,"Nick Maton","PHI",52,117,30,20,7,1,2,16,14,10,0,39,2,1,1,0,2,0,131,0.076,0.298,0.26,0.256,0.323,0.385,0.708,0.128,6.1,0.364,0.6,0.7,0.2,0.3,15,-0.6,0.309,91,0.173
2022,"Nick Pratto","KCR",49,158,29,12,9,1,7,18,20,19,0,66,1,3,1,6,0,0,182,0.104,0.363,0.29,0.184,0.271,0.386,0.657,0.203,2.7,0.25,-1,-0.4,-0.3,-0.1,17,-3.3,0.287,81,0.232
2021,"Nick Senzel","CIN",36,111,28,23,4,0,1,18,8,12,0,16,0,1,0,3,2,5,124,0.097,0.129,0.75,0.252,0.323,0.315,0.638,0.063,3.7,0.284,1.5,0.1,0.9,-1.8,12,-2.9,0.286,72,0.231
2022,"Nick Senzel","CIN",110,373,86,68,13,0,5,45,25,30,0,76,5,1,2,7,8,5,420,0.071,0.181,0.39,0.231,0.296,0.306,0.601,0.075,3.7,0.276,0,-0.1,-1,-0.8,35,-12.7,0.272,67,0.236
2023,"Nick Senzel","CIN",104,301,71,48,10,0,13,49,42,26,0,74,1,2,0,9,6,2,330,0.079,0.224,0.35,0.236,0.297,0.399,0.696,0.163,4.5,0.269,2.6,-1,1.5,-0.2,36,-4.5,0.302,83,0.209
2020,"Nick Solak","TEX",58,209,56,44,10,0,2,27,23,18,0,42,2,4,0,6,7,1,233,0.077,0.18,0.43,0.268,0.326,0.344,0.671,0.077,4.6,0.32,1.7,-0.1,0.1,0.8,25,-4.5,0.297,86,0.242
2020,"Nico Hoerner","CHC",48,108,24,20,4,0,0,19,13,12,0,24,3,2,0,3,3,2,126,0.095,0.19,0.5,0.222,0.312,0.259,0.571,0.037,4.7,0.279,1.2,-0.1,0.2,-0.4,10,-5.8,0.265,63,0.302
2021,"Nico Hoerner","CHC",44,149,45,35,10,0,0,13,16,17,3,25,3,1,0,3,5,3,170,0.1,0.147,0.68,0.302,0.382,0.369,0.751,0.067,3,0.36,-0.4,0.1,0.2,-0.4,23,2.1,0.33,106,0.281
2022,"Nico Hoerner","CHC",135,481,135,98,22,5,10,60,55,28,4,57,6,2,0,11,20,2,517,0.054,0.11,0.49,0.281,0.327,0.41,0.736,0.129,6.4,0.3,0.1,-0.5,0.7,2.7,63,4,0.32,108,0.283
2023,"Nico Hoerner","CHC",150,619,175,135,27,4,9,98,68,49,0,83,14,5,1,12,43,7,688,0.071,0.121,0.59,0.283,0.346,0.383,0.729,0.1,6.8,0.312,4.9,0.7,2.7,4.1,86,2.1,0.322,103,0.273
2023,"Noelvi Marte","CIN",35,114,36,26,7,0,3,15,15,8,0,25,1,0,0,1,6,2,123,0.065,0.203,0.32,0.316,0.366,0.456,0.822,0.14,4.4,0.384,0.3,0.5,-0.3,0.1,19,4,0.357,120,0.21
2020,"Nolan Arenado","COL",48,182,46,29,9,0,8,23,26,15,3,20,0,4,0,7,0,0,201,0.075,0.1,0.75,0.253,0.303,0.434,0.738,0.181,1.3,0.241,0.3,-0.7,-0.8,-0.1,23,-2,0.308,76,0.255
2021,"Nolan Arenado","STL",157,593,151,80,34,3,34,81,105,50,8,96,3,7,0,20,2,0,653,0.077,0.147,0.52,0.255,0.312,0.494,0.807,0.239,3.3,0.249,0.5,-0.9,1.3,0,91,11.6,0.336,112,0.293
2022,"Nolan Arenado","STL",148,557,163,90,42,1,30,73,103,52,3,72,7,4,0,15,5,3,620,0.084,0.116,0.72,0.293,0.358,0.533,0.891,0.241,2.6,0.29,-0.4,-0.4,0.9,-0.8,106,35.1,0.381,149,0.266
2023,"Nolan Arenado","STL",144,560,149,95,26,2,26,71,93,41,5,101,3,8,0,21,3,3,612,0.067,0.165,0.41,0.266,0.315,0.459,0.774,0.193,2.9,0.279,0.2,-1.8,-0.4,-1.7,79,4.5,0.327,107,0.272
2022,"Nolan Gorman","STL",89,283,64,37,13,0,14,44,35,28,0,103,2,0,0,2,1,0,313,0.089,0.329,0.27,0.226,0.3,0.42,0.721,0.194,3,0.301,-0.8,0.8,-1.9,-0.1,37,1.5,0.316,105,0.236
2023,"Nolan Gorman","STL",119,406,96,52,17,0,27,59,76,53,1,148,3,2,0,5,7,2,464,0.114,0.319,0.36,0.236,0.328,0.478,0.805,0.241,3.3,0.296,1,1.9,0.4,-0.3,67,10.1,0.345,118,0.203
2023,"Nolan Jones","COL",106,367,109,63,22,4,20,60,62,53,3,126,3,1,0,1,20,4,424,0.125,0.297,0.42,0.297,0.389,0.542,0.931,0.245,6.6,0.401,-0.3,1.9,0.6,1.4,79,27,0.395,137,0.227
2023,"Nolan Schanuel","LAA",29,109,30,26,3,0,1,19,6,20,1,19,3,0,0,1,0,0,132,0.152,0.144,1.05,0.275,0.402,0.33,0.732,0.055,1.8,0.326,NA,NA,-1.2,-0.4,18,2,0.336,113,0.25
2020,"Nomar Mazara","CHW",42,136,31,24,6,0,1,13,15,10,0,44,3,0,0,0,0,1,149,0.067,0.295,0.23,0.228,0.295,0.294,0.589,0.066,1.9,0.33,0.6,0.6,0,-0.6,12,-6.7,0.267,65,0.212
2021,"Nomar Mazara","DET",50,165,35,25,5,2,3,12,19,15,0,45,0,1,0,4,0,0,181,0.083,0.249,0.33,0.212,0.276,0.321,0.597,0.109,2.7,0.271,-0.1,0.3,0.4,-0.1,14,-7.6,0.264,64,0.264
2021,"Odúbel Herrera","PHI",124,450,117,75,27,2,13,59,51,29,0,77,6,5,1,6,6,1,492,0.059,0.157,0.38,0.26,0.31,0.416,0.726,0.156,4.5,0.285,-0.4,0.3,-0.8,0.4,59,-0.8,0.312,93,0.238
2020,"Omar Narváez","MIL",40,108,19,13,4,0,2,8,10,16,0,39,2,0,0,1,0,0,126,0.127,0.31,0.41,0.176,0.294,0.269,0.562,0.093,0.7,0.254,-0.1,0.2,-0.3,-0.1,10,-6.1,0.262,60,0.266
2021,"Omar Narváez","MIL",123,391,104,73,20,0,11,54,49,41,3,84,7,6,0,13,0,0,445,0.092,0.189,0.49,0.266,0.342,0.402,0.743,0.136,1.5,0.308,-0.8,-1.3,-1.1,-0.4,57,2.9,0.322,100,0.206
2022,"Omar Narváez","MIL",84,262,54,37,12,1,4,21,23,29,1,57,3,1,1,4,0,0,296,0.098,0.193,0.51,0.206,0.292,0.305,0.597,0.099,1.6,0.248,-0.6,0.6,-0.4,-0.3,24,-9.5,0.269,71,0.211
2022,"Oneil Cruz","PIT",87,331,77,43,13,4,17,45,54,28,1,126,1,1,0,3,10,4,361,0.078,0.349,0.22,0.233,0.294,0.45,0.744,0.218,6.4,0.317,0.4,1.5,3.2,0.1,44,3.1,0.32,104,0.259
2020,"Orlando Arcia","MIL",59,173,45,29,10,1,5,22,20,14,0,32,1,1,0,10,2,0,189,0.074,0.169,0.44,0.26,0.317,0.416,0.734,0.156,4.6,0.292,-0.3,-2.9,0.6,0.3,23,-0.4,0.317,97,0.244
2022,"Orlando Arcia","ATL",68,209,51,33,9,0,9,25,30,21,0,51,2,2,0,7,0,0,234,0.09,0.218,0.41,0.244,0.316,0.416,0.733,0.172,1.1,0.278,0.8,-0.7,-0.2,-0.2,29,2.1,0.321,105,0.264
2023,"Orlando Arcia","ATL",139,488,129,87,25,0,17,66,65,39,0,102,3,3,0,14,1,0,533,0.073,0.191,0.38,0.264,0.321,0.42,0.741,0.156,2.3,0.301,0,-1.3,-1.5,-0.8,66,1.3,0.321,100,0.218
2022,"Oswaldo Cabrera","NYY",44,154,38,23,8,1,6,21,19,15,0,44,0,1,1,1,3,2,171,0.088,0.257,0.34,0.247,0.312,0.429,0.74,0.182,4.7,0.305,0.2,0.6,0.6,-0.4,21,1.7,0.322,110,0.211
2023,"Oswaldo Cabrera","NYY",115,298,63,47,11,0,5,35,29,25,1,72,2,2,3,6,8,0,330,0.076,0.218,0.35,0.211,0.275,0.299,0.574,0.087,4.9,0.26,0.3,0.1,-0.9,1,23,-17.2,0.256,59,0.247
2021,"Owen Miller","CLE",60,191,39,27,8,0,4,17,18,9,0,54,1,1,0,7,2,0,202,0.045,0.267,0.17,0.204,0.243,0.309,0.551,0.105,3.5,0.261,-1.3,-1.3,-0.2,0.3,12,-12.3,0.241,51,0.243
2022,"Owen Miller","CLE",130,424,103,70,26,1,6,53,51,32,1,93,7,9,0,8,2,0,472,0.068,0.197,0.34,0.243,0.301,0.351,0.652,0.108,3.6,0.29,1.3,-0.3,1.5,0,45,-8.6,0.287,86,0.261
2020,"Ozzie Albies","ATL",29,118,32,21,5,0,6,21,19,5,0,30,1,0,0,0,3,1,124,0.04,0.242,0.17,0.271,0.306,0.466,0.773,0.195,5.1,0.317,0.5,0.7,0.4,0.1,17,1,0.329,103,0.259
2021,"Ozzie Albies","ATL",156,629,163,86,40,7,30,103,106,47,2,128,3,7,0,4,20,4,686,0.069,0.187,0.37,0.259,0.31,0.488,0.799,0.229,6.8,0.278,4.5,1.9,3.2,1.9,95,12.2,0.336,108,0.247
2022,"Ozzie Albies","ATL",64,247,61,37,16,0,8,36,35,16,0,47,2,4,0,0,3,5,269,0.059,0.175,0.34,0.247,0.294,0.409,0.703,0.162,3.3,0.27,2.1,1,0.7,-1.6,30,-1.1,0.305,94,0.28
2023,"Ozzie Albies","ATL",148,596,167,99,30,5,33,96,109,46,2,107,8,8,0,9,13,1,660,0.07,0.162,0.43,0.28,0.336,0.513,0.849,0.233,5.9,0.289,2.6,0.8,2.3,1,102,21.9,0.358,125,0.251
2023,"Parker Meadows","DET",37,125,29,20,4,2,3,19,13,17,1,37,2,1,0,0,8,1,145,0.117,0.255,0.46,0.232,0.331,0.368,0.699,0.136,8,0.302,1.8,0.8,1,0.9,16,-1.2,0.308,94,0.244
2021,"Patrick Wisdom","CHC",106,338,78,37,13,0,28,54,61,32,1,153,4,0,0,7,4,1,375,0.085,0.408,0.21,0.231,0.305,0.518,0.823,0.287,3.5,0.318,-0.5,-0.2,-0.5,0.1,55,9.9,0.346,117,0.207
2022,"Patrick Wisdom","CHC",134,469,97,44,28,0,25,67,66,53,1,183,9,2,1,8,8,4,534,0.099,0.343,0.29,0.207,0.298,0.426,0.725,0.22,3.7,0.274,0.4,0.6,0.9,-0.4,64,2.8,0.316,106,0.205
2023,"Patrick Wisdom","CHC",97,268,55,23,8,1,23,43,46,30,0,111,2,1,1,4,4,2,302,0.099,0.368,0.27,0.205,0.289,0.5,0.789,0.295,4.5,0.237,0.2,0.6,0.2,-0.5,40,3.7,0.333,110,0.171
2020,"Paul Goldschmidt","STL",58,191,58,39,13,0,6,31,21,37,0,43,1,1,0,4,1,0,231,0.16,0.186,0.86,0.304,0.417,0.466,0.883,0.162,2.5,0.364,0.8,0.3,-1.3,0,42,13.1,0.387,147,0.294
2021,"Paul Goldschmidt","STL",158,603,177,108,36,2,31,102,99,67,2,136,4,5,0,13,12,0,679,0.099,0.2,0.49,0.294,0.365,0.514,0.879,0.221,5,0.331,0.5,0,-0.3,1.8,115,33.2,0.373,136,0.317
2022,"Paul Goldschmidt","STL",151,561,178,102,41,0,35,106,115,79,1,141,5,4,0,7,7,0,651,0.121,0.217,0.56,0.317,0.404,0.578,0.981,0.26,3.6,0.368,0.6,1.8,0.3,0.6,131,56.7,0.419,175,0.268
2023,"Paul Goldschmidt","STL",154,593,159,103,31,0,25,89,80,87,6,161,3,3,0,12,11,2,687,0.127,0.234,0.54,0.268,0.363,0.447,0.81,0.179,3.6,0.327,2.5,0.2,0.3,-0.1,102,18.1,0.35,122,0.245
2021,"Pavin Smith","ARI",145,498,133,91,27,4,11,68,49,42,1,106,4,1,0,11,1,0,545,0.077,0.194,0.4,0.267,0.328,0.404,0.732,0.137,3.6,0.319,-1.6,-0.5,-1.8,-0.3,68,1.7,0.318,98,0.22
2022,"Pavin Smith","ARI",75,245,54,36,9,0,9,24,33,28,1,67,1,3,0,2,1,0,277,0.101,0.242,0.42,0.22,0.3,0.367,0.667,0.147,1.9,0.262,0,0.6,0,-0.1,28,-3.5,0.294,87,0.188
2023,"Pavin Smith","ARI",69,191,36,24,5,0,7,26,30,35,0,45,1,0,0,3,1,1,228,0.154,0.197,0.78,0.188,0.317,0.325,0.642,0.136,2.2,0.209,-0.1,0.2,0.2,-0.7,23,-4.8,0.293,81,0.27
2020,"Pedro Severino","BAL",48,160,40,29,5,1,5,17,21,16,0,40,1,0,1,3,1,0,178,0.09,0.225,0.4,0.25,0.322,0.388,0.71,0.138,3.7,0.304,-0.4,0.1,0.1,0.1,21,-1.2,0.312,94,0.248
2020,"Pete Alonso","NYM",57,208,48,26,6,0,16,31,35,24,4,61,6,1,0,4,1,0,239,0.1,0.255,0.39,0.231,0.326,0.49,0.817,0.26,2.5,0.242,-2.6,0.6,-0.9,0,34,4.5,0.342,120,0.262
2021,"Pete Alonso","NYM",152,561,147,80,27,3,37,81,94,60,6,127,12,4,0,20,3,0,637,0.094,0.199,0.47,0.262,0.344,0.519,0.863,0.257,3.5,0.274,-4.6,-0.6,-2.4,0.1,103,25.4,0.363,131,0.271
2022,"Pete Alonso","NYM",160,597,162,95,27,0,40,95,131,67,16,128,12,9,0,17,5,1,685,0.098,0.187,0.52,0.271,0.352,0.518,0.869,0.246,2.9,0.279,-2.4,0,-2.6,-0.1,109,30.5,0.366,141,0.217
2023,"Pete Alonso","NYM",154,568,123,54,21,2,46,92,118,65,6,151,21,4,0,17,4,1,658,0.099,0.229,0.43,0.217,0.318,0.504,0.821,0.287,3.8,0.205,-0.7,-0.4,0,-0.7,95,14.9,0.346,120,0.24
2021,"Rafael Ortega","CHC",103,296,86,59,14,2,11,44,33,30,1,70,2,0,2,3,12,6,330,0.091,0.212,0.43,0.291,0.36,0.463,0.823,0.172,5.3,0.349,0.2,0.5,0.8,-0.4,51,11,0.355,122,0.241
2022,"Rafael Ortega","CHC",118,316,76,54,14,1,7,35,35,44,2,74,2,7,1,10,12,7,371,0.119,0.199,0.59,0.241,0.331,0.358,0.688,0.117,4.2,0.285,-2.2,-0.5,-2.3,-0.8,41,-1.5,0.305,98,0.219
2020,"Raimel Tapia","COL",51,184,59,48,8,2,1,26,17,14,0,38,2,3,1,3,8,2,206,0.068,0.184,0.37,0.321,0.369,0.402,0.772,0.082,6.4,0.392,2.2,0.5,1.1,0.5,29,3.2,0.338,96,0.273
2021,"Raimel Tapia","COL",133,487,133,99,26,2,6,69,50,40,2,70,1,4,1,8,20,6,533,0.075,0.131,0.57,0.273,0.327,0.372,0.699,0.099,5.5,0.306,2.8,-0.1,4.5,1,60,-4.3,0.305,75,0.265
2020,"Randal Grichuk","TOR",55,216,59,38,9,0,12,38,35,13,1,49,0,2,0,5,1,1,231,0.056,0.212,0.27,0.273,0.312,0.481,0.793,0.208,3.1,0.299,0.6,-0.1,-0.4,-0.4,32,2.8,0.334,108,0.241
2021,"Randal Grichuk","TOR",149,511,123,75,25,1,22,59,81,27,0,114,3,4,0,17,0,3,545,0.05,0.209,0.24,0.241,0.281,0.423,0.703,0.182,2.3,0.266,-1.4,-1.9,0.4,-1.6,59,-6.5,0.3,85,0.259
2022,"Randal Grichuk","COL",141,506,131,88,21,3,19,60,73,24,0,127,6,2,0,12,4,0,538,0.045,0.236,0.19,0.259,0.299,0.425,0.724,0.166,4.4,0.309,-1.3,-0.2,-0.3,0.3,64,2.1,0.315,89,0.308
2023,"Randal Grichuk","COL",64,240,74,46,19,1,8,40,27,18,2,51,4,1,0,6,2,2,263,0.068,0.194,0.35,0.308,0.365,0.496,0.861,0.188,3.7,0.363,-0.6,-0.3,-1.1,-1,43,10.7,0.367,118,0.216
2023,"Randal Grichuk","LAA",54,194,42,21,12,1,8,25,17,11,0,45,2,1,0,5,0,0,208,0.053,0.216,0.24,0.216,0.264,0.412,0.677,0.196,2.9,0.239,0,-0.8,0.6,-0.3,20,-5,0.289,80,0.291
2021,"Reese McGuire","TOR",78,198,50,34,15,0,1,22,10,15,0,44,2,1,1,4,0,0,217,0.069,0.203,0.34,0.253,0.31,0.343,0.654,0.091,1.6,0.318,1.1,-0.1,0.3,-0.2,22,-4.6,0.289,78,0.337
