Season,Name,Team,G,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,PA,BB.Percent,K.Percent,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,next_AVG
2020,Amed Rosario,NYM,46,143,36,28,3,1,4,20,15,4,0,34,0,0,0,5,0,1,147,0.027000000000000003,0.231,0.12,0.252,0.272,0.371,0.643,0.119,4.0,0.305,0.7,-0.7,1.0,-0.5,13,-5.3,0.277,76,0.282
2021,Amed Rosario,CLE,141,550,155,113,25,6,11,77,57,31,0,120,3,4,0,12,13,0,588,0.053,0.204,0.26,0.282,0.321,0.409,0.731,0.127,6.6,0.34,0.2,-1.1,2.8,2.1,72,0.5,0.315,102,0.283
2022,Amed Rosario,CLE,153,637,180,134,26,9,11,86,71,25,0,111,4,4,0,19,18,4,670,0.037000000000000005,0.166,0.23,0.283,0.312,0.403,0.715,0.121,6.7,0.326,2.7,-2.5,4.0,1.3,77,0.8,0.311,104,0.265
2023,Amed Rosario,CLE,94,385,102,74,19,6,3,51,40,22,0,77,2,3,0,11,9,0,412,0.053,0.187,0.29,0.265,0.306,0.369,0.675,0.104,7.2,0.321,-0.4,-0.3,0.2,1.0,42,-8.3,0.294,86,0.256
2023,Amed Rosario,LAD,48,125,32,21,6,2,3,19,18,7,0,22,1,0,0,4,6,2,133,0.053,0.165,0.32,0.256,0.301,0.408,0.709,0.152,7.8,0.29,-1.7,-0.8,-0.8,0.1,15,-1.3,0.306,91,0.307
2020,Andrelton Simmons,LAA,30,118,35,28,7,0,0,19,10,8,0,16,1,0,0,5,2,0,127,0.063,0.126,0.5,0.297,0.346,0.356,0.702,0.059,4.8,0.343,-0.1,-0.9,0.1,0.3,15,-0.8,0.313,95,0.223
2021,Andrew Benintendi,KCR,134,493,136,90,27,2,17,63,73,36,0,97,2,6,1,2,8,9,538,0.067,0.18,0.37,0.276,0.324,0.442,0.766,0.166,3.6,0.309,0.7,1.8,0.1,-2.6,71,6.1,0.328,104,0.32
2022,Andrew Benintendi,KCR,93,347,111,92,14,2,3,40,39,39,0,52,1,3,0,6,4,2,390,0.1,0.133,0.75,0.32,0.387,0.398,0.785,0.078,3.5,0.366,-1.4,0.6,-2.6,-0.5,57,12.1,0.349,124,0.254
2022,Andrew Benintendi,NYY,33,114,29,17,9,1,2,14,12,13,0,25,1,2,1,1,4,1,131,0.099,0.191,0.52,0.254,0.331,0.404,0.734,0.149,5.8,0.303,1.3,0.4,0.8,0.3,16,1.2,0.322,110,0.262
2023,Andrew Benintendi,CHW,151,562,147,106,34,2,5,72,45,52,5,89,3,3,1,12,13,2,621,0.084,0.14300000000000002,0.58,0.262,0.326,0.356,0.682,0.094,5.0,0.301,1.9,-0.2,1.1,0.6,66,-10.0,0.299,88,0.229
